2025-04-05, 1001, Laura Herrera DNI 33114523, SENCILLA, Miguel Torcuato, 14, 140000, MEDIA
2025-07-16, 1023, Sofia Diaz DNI 46670729, DOBLE, Miguel Torcuato, 13, 234000, ALTA
2025-10-24, 1024, Ana Ruiz DNI 14550325, SENCILLA, Miguel Torcuato, 9, 90000, BAJA
2025-12-18, 1025, Diego Gomez DNI 33064631, SUITE, Miguel Torcuato, 2, 60000, BAJA
2025-08-24, 1026, Ana Ruiz DNI 17745216, DOBLE, Miguel Torcuato, 11, 198000, MEDIA
2025-05-01, 1027, Juan Herrera DNI 27411584, DOBLE, Miguel Torcuato, 11, 198000, MEDIA
2025-12-03, 1028, Juan Lopez DNI 12056874, SUITE, Miguel Torcuato, 12, 360000, ALTA
2025-05-11, 1029, Sofia Gomez DNI 30666644, SENCILLA, Miguel Torcuato, 14, 140000, MEDIA
2025-03-05, 1030, Pedro Gomez DNI 17311265, SENCILLA, Miguel Torcuato, 2, 20000, BAJA
2025-01-08, 1031, Valentina Torres DNI 33704302, SENCILLA, Miguel Torcuato, 13, 130000, MEDIA
2025-09-15, 1032, Juan Herrera DNI 33772347, SUITE, Miguel Torcuato, 3, 90000, BAJA
2025-12-10, 1033, Pedro Sosa DNI 21778580, SENCILLA, Miguel Torcuato, 14, 140000, MEDIA
2025-06-08, 1034, Valentina Fernandez DNI 32201779, SENCILLA, Miguel Torcuato, 2, 20000, BAJA
2025-11-27, 1035, Valentina Ruiz DNI 36194824, SENCILLA, Miguel Torcuato, 8, 80000, BAJA
2025-10-16, 1036, Juan Ruiz DNI 23000507, SENCILLA, Miguel Torcuato, 12, 120000, MEDIA
2025-07-24, 1037, Lucia Herrera DNI 39362626, DOBLE, Miguel Torcuato, 9, 162000, MEDIA
2025-06-26, 1038, Marcos Sosa DNI 32449255, SENCILLA, Miguel Torcuato, 10, 100000, MEDIA
2025-02-27, 1039, Lucia Herrera DNI 34564875, SUITE, Miguel Torcuato, 3, 90000, BAJA
2025-07-21, 1040, Juan Fernandez DNI 10500942, SUITE, Miguel Torcuato, 2, 60000, BAJA
2025-11-14, 1041, Lucia Sosa DNI 16446899, SUITE, Miguel Torcuato, 6, 180000, MEDIA
2025-09-14, 1042, Pedro Diaz DNI 40163731, DOBLE, Miguel Torcuato, 9, 162000, MEDIA
2025-09-17, 1043, Laura Lopez DNI 34960921, SUITE, Miguel Torcuato, 8, 240000, ALTA
2025-02-17, 1044, Pedro Perez DNI 14372929, SUITE, Miguel Torcuato, 8, 240000, ALTA
2025-08-20, 1045, Sofia Perez DNI 49379119, SENCILLA, Miguel Torcuato, 9, 90000, BAJA
2025-02-27, 1046, Diego Sosa DNI 29694032, SENCILLA, Miguel Torcuato, 9, 90000, BAJA
2025-10-27, 1047, Valentina Mendez DNI 29048003, SENCILLA, Miguel Torcuato, 15, 150000, MEDIA
2025-10-10, 1048, Juan Perez DNI 47516278, DOBLE, Miguel Torcuato, 11, 198000, MEDIA
2025-11-03, 1049, Pedro Diaz DNI 22735505, DOBLE, Miguel Torcuato, 1, 18000, BAJA
2025-06-13, 1050, Sofia Gomez DNI 31323844, SUITE, Miguel Torcuato, 3, 90000, BAJA
2025-04-04, 1051, Pedro Lopez DNI 41284026, SUITE, Miguel Torcuato, 3, 90000, BAJA
2025-05-19, 1052, Diego Fernandez DNI 38332380, SUITE, Miguel Torcuato, 10, 300000, ALTA
2025-06-10, 1053, Carlos Fernandez DNI 46443023, DOBLE, Miguel Torcuato, 7, 126000, MEDIA
2025-10-27, 1054, Pedro Mendez DNI 48649898, SUITE, Miguel Torcuato, 14, 420000, ALTA
2025-02-08, 1055, Juan Perez DNI 21163292, SUITE, Miguel Torcuato, 2, 60000, BAJA
2025-05-04, 1056, Juan Perez DNI 20630644, DOBLE, Miguel Torcuato, 10, 180000, MEDIA
2025-05-25, 1057, Carlos Mendez DNI 11945628, SUITE, Miguel Torcuato, 9, 270000, ALTA
2025-01-25, 1058, Carlos Lopez DNI 37349724, DOBLE, Miguel Torcuato, 5, 90000, BAJA
2025-11-20, 1059, Laura Lopez DNI 37397633, DOBLE, Miguel Torcuato, 7, 126000, MEDIA
2025-07-12, 1060, Laura Gomez DNI 40041587, SENCILLA, Miguel Torcuato, 5, 50000, BAJA
2025-11-26, 1061, Pedro Torres DNI 33292419, SUITE, Miguel Torcuato, 12, 360000, ALTA
2025-10-09, 1062, Diego Torres DNI 21163197, SENCILLA, Miguel Torcuato, 6, 60000, BAJA
2025-08-27, 1063, Laura Lopez DNI 24873884, DOBLE, Miguel Torcuato, 9, 162000, MEDIA
2025-09-22, 1064, Carlos Torres DNI 36640633, SENCILLA, Miguel Torcuato, 12, 120000, MEDIA
2025-04-27, 1065, Diego Sosa DNI 24380315, DOBLE, Miguel Torcuato, 2, 36000, BAJA
2025-03-26, 1066, Laura Gomez DNI 43814478, DOBLE, Miguel Torcuato, 12, 216000, ALTA
2025-07-25, 1067, Ana Mendez DNI 14275971, SUITE, Miguel Torcuato, 5, 150000, MEDIA
2025-07-24, 1068, Juan Mendez DNI 26966264, SENCILLA, Miguel Torcuato, 8, 80000, BAJA
2025-04-09, 1069, Diego Ruiz DNI 20499737, DOBLE, Miguel Torcuato, 12, 216000, ALTA
2025-12-01, 1070, Valentina Sosa DNI 31033429, SENCILLA, Miguel Torcuato, 7, 70000, BAJA
2025-10-06, 1071, Ana Fernandez DNI 29757076, SENCILLA, Miguel Torcuato, 3, 30000, BAJA
2025-09-15, 1072, Sofia Perez DNI 23614377, SENCILLA, Miguel Torcuato, 12, 120000, MEDIA
2025-09-23, 1073, Laura Torres DNI 19046159, SUITE, Miguel Torcuato, 14, 420000, ALTA
2025-07-03, 1074, Sofia Herrera DNI 13619517, SENCILLA, Miguel Torcuato, 11, 110000, MEDIA
2025-06-19, 1075, Marcos Diaz DNI 25371374, DOBLE, Miguel Torcuato, 3, 54000, BAJA
2025-03-15, 1076, Laura Lopez DNI 44514443, SENCILLA, Miguel Torcuato, 10, 100000, MEDIA
2025-11-08, 1077, Valentina Diaz DNI 40975303, SUITE, Miguel Torcuato, 1, 30000, BAJA
2025-02-04, 1078, Juan Herrera DNI 24812568, DOBLE, Miguel Torcuato, 12, 216000, ALTA
2025-12-12, 1079, Juan Ruiz DNI 31395619, SUITE, Miguel Torcuato, 9, 270000, ALTA
2025-10-26, 1080, Juan Ruiz DNI 33322860, DOBLE, Miguel Torcuato, 8, 144000, MEDIA
2025-11-15, 1081, Marcos Fernandez DNI 21688861, DOBLE, Miguel Torcuato, 2, 36000, BAJA
2025-07-12, 1082, Laura Ruiz DNI 25030943, SUITE, Miguel Torcuato, 6, 180000, MEDIA
2025-06-13, 1083, Diego Ruiz DNI 43421598, SENCILLA, Miguel Torcuato, 4, 40000, BAJA
2025-12-27, 1084, Carlos Herrera DNI 41738555, SENCILLA, Miguel Torcuato, 13, 130000, MEDIA
2025-08-15, 1085, Marcos Fernandez DNI 46341653, SENCILLA, Miguel Torcuato, 7, 70000, BAJA
2025-05-08, 1086, Diego Torres DNI 41446647, DOBLE, Miguel Torcuato, 8, 144000, MEDIA
2025-04-02, 1087, Sofia Ruiz DNI 30480253, SUITE, Miguel Torcuato, 13, 390000, ALTA
2025-12-15, 1088, Lucia Ruiz DNI 44901710, SENCILLA, Miguel Torcuato, 4, 40000, BAJA
2025-11-27, 1089, Valentina Mendez DNI 28296968, DOBLE, Miguel Torcuato, 12, 216000, ALTA
2025-01-15, 1090, Diego Diaz DNI 32533380, SUITE, Miguel Torcuato, 10, 300000, ALTA
2025-05-17, 1091, Lucia Ruiz DNI 43379219, DOBLE, Miguel Torcuato, 5, 90000, BAJA
2025-07-14, 1092, Lucia Fernandez DNI 46664025, SENCILLA, Miguel Torcuato, 12, 120000, MEDIA
2025-10-13, 1093, Sofia Perez DNI 38782197, SENCILLA, Miguel Torcuato, 13, 130000, MEDIA
2025-11-20, 1094, Diego Perez DNI 36027464, SUITE, Miguel Torcuato, 5, 150000, MEDIA
2025-09-08, 1095, Ana Diaz DNI 11274896, SUITE, Miguel Torcuato, 9, 270000, ALTA
2025-03-23, 1096, Juan Diaz DNI 43236302, DOBLE, Miguel Torcuato, 3, 54000, BAJA
2025-06-28, 1097, Sofia Mendez DNI 26539131, SENCILLA, Miguel Torcuato, 13, 130000, MEDIA
2025-01-13, 1098, Sofia Diaz DNI 39433297, SENCILLA, Miguel Torcuato, 6, 60000, BAJA
2025-10-05, 1099, Lucia Herrera DNI 49460694, SUITE, Miguel Torcuato, 15, 450000, ALTA
2025-11-02, 1100, Diego Lopez DNI 34948839, SENCILLA, Miguel Torcuato, 14, 140000, MEDIA
2025-07-25, 1101, Pedro Herrera DNI 31971326, SENCILLA, Miguel Torcuato, 10, 100000, MEDIA
2025-10-03, 1102, Carlos Diaz DNI 48948694, DOBLE, Miguel Torcuato, 13, 234000, ALTA
2025-11-27, 1103, Valentina Fernandez DNI 30616673, SUITE, Miguel Torcuato, 3, 90000, BAJA
2025-10-21, 1104, Pedro Mendez DNI 27062858, SUITE, Miguel Torcuato, 7, 210000, ALTA
2025-05-25, 1105, Sofia Diaz DNI 37018100, SUITE, Miguel Torcuato, 6, 180000, MEDIA
2025-08-21, 1106, Ana Torres DNI 47003994, SUITE, Miguel Torcuato, 10, 300000, ALTA
2025-03-21, 1107, Laura Torres DNI 26616829, SENCILLA, Miguel Torcuato, 12, 120000, MEDIA
2025-07-05, 1108, Carlos Gomez DNI 30331376, SENCILLA, Miguel Torcuato, 1, 10000, BAJA
2025-08-04, 1109, Ana Gomez DNI 33820619, SENCILLA, Miguel Torcuato, 11, 110000, MEDIA
2025-01-22, 1110, Sofia Diaz DNI 41461384, DOBLE, Miguel Torcuato, 15, 270000, ALTA
2025-11-18, 1111, Ana Perez DNI 21380501, SENCILLA, Miguel Torcuato, 10, 100000, MEDIA
2025-11-14, 1112, Pedro Mendez DNI 29434239, SENCILLA, Miguel Torcuato, 12, 120000, MEDIA
2025-04-28, 1113, Pedro Perez DNI 32402801, SENCILLA, Miguel Torcuato, 15, 150000, MEDIA
2025-05-15, 1114, Ana Lopez DNI 23850375, SENCILLA, Miguel Torcuato, 11, 110000, MEDIA
2025-06-06, 1115, Laura Fernandez DNI 14914825, DOBLE, Miguel Torcuato, 11, 198000, MEDIA
2025-12-05, 1116, Lucia Sosa DNI 49773598, DOBLE, Miguel Torcuato, 10, 180000, MEDIA
2025-03-09, 1117, Juan Torres DNI 15312438, SUITE, Miguel Torcuato, 2, 60000, BAJA
2025-04-09, 1118, Pedro Perez DNI 28054252, DOBLE, Miguel Torcuato, 9, 162000, MEDIA
2025-11-25, 1119, Marcos Mendez DNI 17951009, SUITE, Miguel Torcuato, 8, 240000, ALTA
2025-01-06, 1120, Laura Fernandez DNI 44323327, DOBLE, Miguel Torcuato, 5, 90000, BAJA
2025-04-13, 1121, Ana Ruiz DNI 23927244, DOBLE, Miguel Torcuato, 1, 18000, BAJA
2025-08-18, 1122, Ana Fernandez DNI 41850302, SENCILLA, Miguel Torcuato, 3, 30000, BAJA
2025-06-01, 1123, Marcos Mendez DNI 19398818, SUITE, Miguel Torcuato, 3, 90000, BAJA
2025-11-28, 1124, Carlos Lopez DNI 20325290, SENCILLA, Miguel Torcuato, 15, 150000, MEDIA
2025-04-28, 1125, Marcos Mendez DNI 33317204, SENCILLA, Miguel Torcuato, 15, 150000, MEDIA
2025-04-20, 1126, Sofia Lopez DNI 44686279, SUITE, Miguel Torcuato, 13, 390000, ALTA
2025-06-08, 1127, Marcos Gomez DNI 24981481, SENCILLA, Miguel Torcuato, 9, 90000, BAJA
2025-06-19, 1128, Sofia Lopez DNI 49836522, DOBLE, Miguel Torcuato, 11, 198000, MEDIA
2025-09-24, 1129, Pedro Gomez DNI 19134390, SUITE, Miguel Torcuato, 4, 120000, MEDIA
2025-08-19, 1130, Carlos Ruiz DNI 43623050, DOBLE, Miguel Torcuato, 12, 216000, ALTA
2025-10-16, 1131, Laura Perez DNI 48327653, SENCILLA, Miguel Torcuato, 6, 60000, BAJA
2025-10-10, 1132, Marcos Ruiz DNI 42593854, SUITE, Miguel Torcuato, 12, 360000, ALTA
2025-02-26, 1133, Ana Fernandez DNI 10468563, DOBLE, Miguel Torcuato, 2, 36000, BAJA
2025-04-28, 1134, Lucia Fernandez DNI 45741767, SUITE, Miguel Torcuato, 8, 240000, ALTA
2025-09-04, 1135, Marcos Lopez DNI 34386674, SENCILLA, Miguel Torcuato, 8, 80000, BAJA
2025-03-03, 1136, Laura Mendez DNI 36956014, SUITE, Miguel Torcuato, 3, 90000, BAJA
2025-08-02, 1137, Carlos Perez DNI 37839776, DOBLE, Miguel Torcuato, 1, 18000, BAJA
2025-12-19, 1138, Ana Torres DNI 43298421, DOBLE, Miguel Torcuato, 2, 36000, BAJA
2025-11-09, 1139, Sofia Herrera DNI 41650913, SUITE, Miguel Torcuato, 15, 450000, ALTA
2025-12-06, 1140, Sofia Perez DNI 27545727, SUITE, Miguel Torcuato, 9, 270000, ALTA
2025-01-07, 1141, Laura Fernandez DNI 12828313, SUITE, Miguel Torcuato, 9, 270000, ALTA
2025-08-02, 1142, Marcos Perez DNI 39098132, SENCILLA, Miguel Torcuato, 13, 130000, MEDIA
2025-11-25, 1143, Laura Fernandez DNI 13099654, SUITE, Miguel Torcuato, 4, 120000, MEDIA
2025-12-07, 1144, Laura Mendez DNI 11275854, SENCILLA, Miguel Torcuato, 12, 120000, MEDIA
2025-04-16, 1145, Carlos Mendez DNI 41189848, DOBLE, Miguel Torcuato, 14, 252000, ALTA
2025-08-28, 1146, Sofia Sosa DNI 47693334, SENCILLA, Miguel Torcuato, 5, 50000, BAJA
2025-09-14, 1147, Laura Lopez DNI 28430808, SENCILLA, Miguel Torcuato, 11, 110000, MEDIA
2025-02-21, 1148, Valentina Diaz DNI 42461261, SUITE, Miguel Torcuato, 7, 210000, ALTA
2025-01-11, 1149, Lucia Diaz DNI 13396682, SUITE, Miguel Torcuato, 9, 270000, ALTA
2025-04-22, 1150, Lucia Lopez DNI 32833391, SUITE, Miguel Torcuato, 3, 90000, BAJA
2025-10-10, 1151, Diego Perez DNI 11753144, DOBLE, Miguel Torcuato, 5, 90000, BAJA
2025-08-22, 1152, Ana Sosa DNI 21632614, SENCILLA, Miguel Torcuato, 11, 110000, MEDIA
2025-11-25, 1153, Valentina Sosa DNI 44740487, SUITE, Miguel Torcuato, 12, 360000, ALTA
2025-06-25, 1154, Pedro Ruiz DNI 27779142, SENCILLA, Miguel Torcuato, 10, 100000, MEDIA
2025-10-28, 1155, Ana Ruiz DNI 14337111, SUITE, Miguel Torcuato, 8, 240000, ALTA
2025-02-21, 1156, Carlos Ruiz DNI 21940213, SENCILLA, Miguel Torcuato, 2, 20000, BAJA
2025-04-08, 1157, Pedro Lopez DNI 44346308, SUITE, Miguel Torcuato, 4, 120000, MEDIA
2025-08-15, 1158, Carlos Ruiz DNI 31430587, SUITE, Miguel Torcuato, 8, 240000, ALTA
2025-01-09, 1159, Pedro Ruiz DNI 36179263, SENCILLA, Miguel Torcuato, 7, 70000, BAJA
2025-11-19, 1160, Marcos Sosa DNI 41141223, SUITE, Miguel Torcuato, 11, 330000, ALTA
2025-12-05, 1161, Carlos Ruiz DNI 17655662, DOBLE, Miguel Torcuato, 4, 72000, BAJA
2025-10-28, 1162, Valentina Torres DNI 11791839, SUITE, Miguel Torcuato, 15, 450000, ALTA
2025-01-21, 1163, Valentina Fernandez DNI 14672373, SENCILLA, Miguel Torcuato, 11, 110000, MEDIA
2025-05-25, 1164, Valentina Mendez DNI 34565626, DOBLE, Miguel Torcuato, 8, 144000, MEDIA
2025-06-11, 1165, Juan Perez DNI 47739612, SUITE, Miguel Torcuato, 8, 240000, ALTA
2025-08-24, 1166, Pedro Perez DNI 40665787, SENCILLA, Miguel Torcuato, 14, 140000, MEDIA
2025-03-23, 1167, Lucia Ruiz DNI 47658048, SUITE, Miguel Torcuato, 1, 30000, BAJA
2025-02-07, 1168, Juan Herrera DNI 28559637, SUITE, Miguel Torcuato, 2, 60000, BAJA
2025-08-25, 1169, Pedro Torres DNI 26210473, DOBLE, Miguel Torcuato, 12, 216000, ALTA
2025-10-07, 1170, Juan Fernandez DNI 19875199, SUITE, Miguel Torcuato, 3, 90000, BAJA
2025-12-23, 1171, Diego Mendez DNI 43100433, SUITE, Miguel Torcuato, 14, 420000, ALTA
2025-04-27, 1172, Juan Fernandez DNI 24601806, SUITE, Miguel Torcuato, 2, 60000, BAJA
2025-06-17, 1173, Laura Ruiz DNI 20663077, DOBLE, Miguel Torcuato, 2, 36000, BAJA
2025-04-20, 1174, Ana Perez DNI 33652692, SUITE, Miguel Torcuato, 15, 450000, ALTA
2025-05-10, 1175, Diego Ruiz DNI 29549832, SENCILLA, Miguel Torcuato, 7, 70000, BAJA
2025-06-17, 1176, Sofia Perez DNI 29466115, SUITE, Miguel Torcuato, 4, 120000, MEDIA
2025-11-18, 1177, Valentina Gomez DNI 46636912, SENCILLA, Miguel Torcuato, 7, 70000, BAJA
2025-09-16, 1178, Carlos Fernandez DNI 34156731, SENCILLA, Miguel Torcuato, 5, 50000, BAJA
2025-02-24, 1179, Valentina Mendez DNI 47669841, SENCILLA, Miguel Torcuato, 2, 20000, BAJA
2025-11-13, 1180, Marcos Mendez DNI 26609946, SENCILLA, Miguel Torcuato, 4, 40000, BAJA
2025-05-18, 1181, Sofia Perez DNI 21726423, SUITE, Miguel Torcuato, 8, 240000, ALTA
2025-12-09, 1182, Marcos Lopez DNI 26777404, DOBLE, Miguel Torcuato, 15, 270000, ALTA
2025-06-06, 1183, Marcos Sosa DNI 15016703, SENCILLA, Miguel Torcuato, 2, 20000, BAJA
2025-08-15, 1184, Juan Gomez DNI 30043161, DOBLE, Miguel Torcuato, 9, 162000, MEDIA
2025-12-05, 1185, Sofia Gomez DNI 33627558, SUITE, Miguel Torcuato, 15, 450000, ALTA
2025-10-27, 1186, Marcos Fernandez DNI 27992520, SUITE, Miguel Torcuato, 9, 270000, ALTA
2025-05-26, 1187, Diego Gomez DNI 40845528, DOBLE, Miguel Torcuato, 2, 36000, BAJA
2025-02-07, 1188, Sofia Ruiz DNI 41312861, SUITE, Miguel Torcuato, 13, 390000, ALTA
2025-07-23, 1189, Ana Lopez DNI 22713104, DOBLE, Miguel Torcuato, 9, 162000, MEDIA
2025-08-16, 1190, Carlos Gomez DNI 49504326, DOBLE, Miguel Torcuato, 5, 90000, BAJA
2025-06-22, 1191, Juan Gomez DNI 43504440, SUITE, Miguel Torcuato, 14, 420000, ALTA
2025-09-17, 1192, Sofia Mendez DNI 14236106, SUITE, Miguel Torcuato, 15, 450000, ALTA
2025-08-07, 1193, Carlos Lopez DNI 46261773, DOBLE, Miguel Torcuato, 5, 90000, BAJA
2025-06-20, 1194, Laura Mendez DNI 22149914, DOBLE, Miguel Torcuato, 10, 180000, MEDIA
2025-02-15, 1195, Sofia Mendez DNI 45360571, DOBLE, Miguel Torcuato, 5, 90000, BAJA
2025-08-14, 1196, Diego Ruiz DNI 35313893, SUITE, Miguel Torcuato, 12, 360000, ALTA
2025-08-24, 1197, Juan Perez DNI 22378903, SENCILLA, Miguel Torcuato, 15, 150000, MEDIA
2025-11-14, 1198, Juan Lopez DNI 23750931, DOBLE, Miguel Torcuato, 1, 18000, BAJA
2025-02-05, 1199, Sofia Lopez DNI 40922634, SENCILLA, Miguel Torcuato, 4, 40000, BAJA
2025-11-02, 1200, Diego Perez DNI 38426586, DOBLE, Miguel Torcuato, 4, 72000, BAJA
2025-09-12, 1201, Sofia Fernandez DNI 25185228, SENCILLA, Miguel Torcuato, 1, 10000, BAJA
2025-07-06, 1202, Juan Diaz DNI 19368203, DOBLE, Miguel Torcuato, 15, 270000, ALTA
2025-01-04, 1203, Laura Gomez DNI 18528204, SUITE, Miguel Torcuato, 11, 330000, ALTA
2025-10-27, 1204, Marcos Mendez DNI 49884705, SUITE, Miguel Torcuato, 12, 360000, ALTA
2025-08-09, 1205, Sofia Diaz DNI 23317541, SUITE, Miguel Torcuato, 10, 300000, ALTA
2025-12-01, 1206, Lucia Diaz DNI 37824275, SUITE, Miguel Torcuato, 8, 240000, ALTA
2025-06-04, 1207, Pedro Fernandez DNI 11797680, DOBLE, Miguel Torcuato, 4, 72000, BAJA
2025-06-22, 1208, Valentina Torres DNI 45635781, SENCILLA, Miguel Torcuato, 14, 140000, MEDIA
2025-04-25, 1209, Ana Mendez DNI 39987932, SUITE, Miguel Torcuato, 11, 330000, ALTA
2025-11-06, 1210, Sofia Sosa DNI 49640273, SUITE, Miguel Torcuato, 1, 30000, BAJA
2025-04-18, 1211, Pedro Lopez DNI 20644511, SENCILLA, Miguel Torcuato, 15, 150000, MEDIA
2025-02-03, 1212, Laura Herrera DNI 24495945, SUITE, Miguel Torcuato, 6, 180000, MEDIA
2025-09-07, 1213, Ana Lopez DNI 20997989, SUITE, Miguel Torcuato, 12, 360000, ALTA
2025-10-06, 1214, Laura Ruiz DNI 25955439, SENCILLA, Miguel Torcuato, 7, 70000, BAJA
2025-11-25, 1215, Marcos Torres DNI 46585352, SENCILLA, Miguel Torcuato, 9, 90000, BAJA
2025-01-28, 1216, Diego Ruiz DNI 41684272, SENCILLA, Miguel Torcuato, 15, 150000, MEDIA
2025-07-01, 1217, Juan Sosa DNI 24315915, DOBLE, Miguel Torcuato, 8, 144000, MEDIA
2025-01-26, 1218, Marcos Diaz DNI 29755320, DOBLE, Miguel Torcuato, 9, 162000, MEDIA
2025-11-20, 1219, Pedro Herrera DNI 37727821, SUITE, Miguel Torcuato, 7, 210000, ALTA
2025-06-27, 1220, Sofia Herrera DNI 35582496, SENCILLA, Miguel Torcuato, 9, 90000, BAJA
2025-04-25, 1221, Marcos Gomez DNI 23827124, DOBLE, Miguel Torcuato, 5, 90000, BAJA
2025-02-09, 1222, Carlos Ruiz DNI 34252490, SUITE, Miguel Torcuato, 4, 120000, MEDIA
2025-08-09, 1223, Marcos Diaz DNI 25147987, DOBLE, Miguel Torcuato, 7, 126000, MEDIA
2025-12-14, 1224, Pedro Gomez DNI 12778667, DOBLE, Miguel Torcuato, 4, 72000, BAJA
2025-12-08, 1225, Sofia Perez DNI 24412344, SUITE, Miguel Torcuato, 7, 210000, ALTA
2025-01-28, 1226, Juan Herrera DNI 28788458, SUITE, Miguel Torcuato, 5, 150000, MEDIA
2025-04-19, 1227, Valentina Mendez DNI 30824238, SUITE, Miguel Torcuato, 10, 300000, ALTA
2025-01-20, 1228, Pedro Mendez DNI 41624500, DOBLE, Miguel Torcuato, 1, 18000, BAJA
2025-11-03, 1229, Diego Torres DNI 29849058, DOBLE, Miguel Torcuato, 5, 90000, BAJA
2025-04-22, 1230, Sofia Ruiz DNI 40514048, DOBLE, Miguel Torcuato, 3, 54000, BAJA
2025-08-28, 1231, Juan Lopez DNI 19816689, SUITE, Miguel Torcuato, 3, 90000, BAJA
2025-03-01, 1232, Juan Herrera DNI 46915697, SENCILLA, Miguel Torcuato, 8, 80000, BAJA
2025-06-06, 1233, Laura Perez DNI 10281105, SENCILLA, Miguel Torcuato, 7, 70000, BAJA
2025-11-18, 1234, Laura Herrera DNI 43975976, DOBLE, Miguel Torcuato, 10, 180000, MEDIA
2025-03-15, 1235, Pedro Herrera DNI 24139676, SENCILLA, Miguel Torcuato, 13, 130000, MEDIA
2025-03-19, 1236, Diego Ruiz DNI 10487577, DOBLE, Miguel Torcuato, 1, 18000, BAJA
2025-10-22, 1237, Juan Diaz DNI 21929201, SENCILLA, Miguel Torcuato, 5, 50000, BAJA
2025-06-09, 1238, Diego Diaz DNI 30834410, SENCILLA, Miguel Torcuato, 1, 10000, BAJA
2025-10-06, 1239, Ana Torres DNI 10923048, SUITE, Miguel Torcuato, 6, 180000, MEDIA
2025-02-21, 1240, Pedro Ruiz DNI 15240228, SUITE, Miguel Torcuato, 1, 30000, BAJA
2025-02-22, 1241, Juan Lopez DNI 49895258, SUITE, Miguel Torcuato, 8, 240000, ALTA
2025-01-21, 1242, Juan Lopez DNI 10605327, DOBLE, Miguel Torcuato, 14, 252000, ALTA
2025-09-12, 1243, Laura Mendez DNI 14285749, SENCILLA, Miguel Torcuato, 2, 20000, BAJA
2025-05-09, 1244, Juan Fernandez DNI 11138611, DOBLE, Miguel Torcuato, 5, 90000, BAJA
2025-01-10, 1245, Pedro Mendez DNI 47068627, SENCILLA, Miguel Torcuato, 11, 110000, MEDIA
2025-01-11, 1246, Diego Gomez DNI 32691737, SUITE, Miguel Torcuato, 1, 30000, BAJA
2025-10-05, 1247, Sofia Mendez DNI 25894108, DOBLE, Miguel Torcuato, 15, 270000, ALTA
2025-04-05, 1248, Pedro Mendez DNI 22849683, SUITE, Miguel Torcuato, 11, 330000, ALTA
2025-08-17, 1249, Diego Mendez DNI 37436072, DOBLE, Miguel Torcuato, 14, 252000, ALTA
2025-05-16, 1250, Sofia Lopez DNI 47222357, SENCILLA, Miguel Torcuato, 15, 150000, MEDIA
2025-11-14, 1251, Juan Sosa DNI 12234008, SUITE, Miguel Torcuato, 3, 90000, BAJA
2025-02-23, 1252, Juan Sosa DNI 36877930, DOBLE, Miguel Torcuato, 9, 162000, MEDIA
2025-11-25, 1253, Diego Herrera DNI 12568622, SUITE, Miguel Torcuato, 14, 420000, ALTA
