2025-03-08, 1001, Lucia Perez DNI 12447474, SENCILLA, Miguel Torcuato, 4, 40000, BAJA
2025-01-05, 1025, Ana Fernandez DNI 17114209, DOBLE, Miguel Torcuato, 9, 162000, MEDIA
2025-06-08, 1026, Ana Ruiz DNI 45757426, SENCILLA, Miguel Torcuato, 6, 60000, BAJA
2025-08-28, 1027, Valentina Lopez DNI 13915000, DOBLE, Miguel Torcuato, 6, 108000, MEDIA
2025-09-15, 1028, Ana Mendez DNI 22663199, DOBLE, Miguel Torcuato, 9, 162000, MEDIA
2025-06-15, 1029, Diego Diaz DNI 33799967, SENCILLA, Miguel Torcuato, 12, 120000, MEDIA
2025-08-17, 1030, Carlos Mendez DNI 49558506, SENCILLA, Miguel Torcuato, 1, 10000, BAJA
2025-07-26, 1031, Juan Mendez DNI 47666808, SUITE, Miguel Torcuato, 9, 270000, ALTA
2025-10-14, 1032, Lucia Lopez DNI 43371681, DOBLE, Miguel Torcuato, 9, 162000, MEDIA
2025-01-08, 1033, Ana Gomez DNI 22657052, SENCILLA, Miguel Torcuato, 9, 90000, BAJA
2025-10-22, 1034, Laura Mendez DNI 12204084, SENCILLA, Miguel Torcuato, 7, 70000, BAJA
2025-09-14, 1035, Diego Sosa DNI 32933664, SUITE, Miguel Torcuato, 11, 330000, ALTA
2025-05-11, 1036, Sofia Torres DNI 47339594, DOBLE, Miguel Torcuato, 4, 72000, BAJA
2025-05-09, 1037, Pedro Perez DNI 11948974, SENCILLA, Miguel Torcuato, 2, 20000, BAJA
2025-05-06, 1038, Sofia Sosa DNI 38445032, SUITE, Miguel Torcuato, 10, 300000, ALTA
2025-10-12, 1039, Marcos Gomez DNI 34419014, SUITE, Miguel Torcuato, 13, 390000, ALTA
2025-07-04, 1040, Ana Torres DNI 34649030, SUITE, Miguel Torcuato, 5, 150000, MEDIA
2025-03-31, 1041, Lucia Herrera DNI 47804568, SUITE, Miguel Torcuato, 7, 210000, ALTA
2025-04-16, 1042, Carlos Torres DNI 42292025, SENCILLA, Miguel Torcuato, 7, 70000, BAJA
2025-07-11, 1043, Marcos Mendez DNI 45205256, SENCILLA, Miguel Torcuato, 4, 40000, BAJA
2025-11-17, 1044, Pedro Gomez DNI 18886835, SENCILLA, Miguel Torcuato, 1, 10000, BAJA
2025-11-23, 1045, Lucia Herrera DNI 31879596, DOBLE, Miguel Torcuato, 10, 180000, MEDIA
2025-10-24, 1046, Sofia Mendez DNI 49852634, SENCILLA, Miguel Torcuato, 7, 70000, BAJA
2025-02-10, 1047, Ana Perez DNI 19850346, SENCILLA, Miguel Torcuato, 15, 150000, MEDIA
2025-06-19, 1048, Ana Fernandez DNI 25889386, DOBLE, Miguel Torcuato, 11, 198000, MEDIA
2025-05-25, 1049, Marcos Fernandez DNI 32685456, SENCILLA, Miguel Torcuato, 5, 50000, BAJA
2025-12-28, 1050, Juan Herrera DNI 15681862, DOBLE, Miguel Torcuato, 4, 72000, BAJA
2025-07-25, 1051, Lucia Torres DNI 46255832, SENCILLA, Miguel Torcuato, 1, 10000, BAJA
2025-10-03, 1052, Carlos Herrera DNI 20126395, SENCILLA, Miguel Torcuato, 11, 110000, MEDIA
2025-07-19, 1053, Diego Ruiz DNI 11511057, SENCILLA, Miguel Torcuato, 13, 130000, MEDIA
2025-05-09, 1054, Laura Diaz DNI 22877082, SUITE, Miguel Torcuato, 4, 120000, MEDIA
2025-04-13, 1055, Marcos Torres DNI 31213952, SUITE, Miguel Torcuato, 1, 30000, BAJA
2025-04-18, 1056, Pedro Fernandez DNI 41347688, SENCILLA, Miguel Torcuato, 3, 30000, BAJA
2025-11-20, 1057, Diego Ruiz DNI 18168426, DOBLE, Miguel Torcuato, 5, 90000, BAJA
2025-11-17, 1058, Pedro Perez DNI 33810872, SUITE, Miguel Torcuato, 14, 420000, ALTA
2025-07-25, 1059, Valentina Lopez DNI 45007543, DOBLE, Miguel Torcuato, 7, 126000, MEDIA
2025-03-16, 1060, Juan Herrera DNI 10875042, SENCILLA, Miguel Torcuato, 4, 40000, BAJA
2025-04-03, 1061, Juan Herrera DNI 47360185, SUITE, Miguel Torcuato, 11, 330000, ALTA
2025-03-15, 1062, Marcos Diaz DNI 36475732, SUITE, Miguel Torcuato, 3, 90000, BAJA
2025-09-13, 1063, Juan Perez DNI 32611859, SUITE, Miguel Torcuato, 14, 420000, ALTA
2025-11-10, 1064, Pedro Lopez DNI 10507214, DOBLE, Miguel Torcuato, 11, 198000, MEDIA
2025-09-01, 1065, Diego Sosa DNI 34398909, DOBLE, Miguel Torcuato, 9, 162000, MEDIA
2025-09-14, 1066, Carlos Ruiz DNI 43800243, SENCILLA, Miguel Torcuato, 13, 130000, MEDIA
2025-01-04, 1067, Ana Lopez DNI 40515372, SUITE, Miguel Torcuato, 12, 360000, ALTA
2025-01-15, 1068, Juan Herrera DNI 43261507, DOBLE, Miguel Torcuato, 2, 36000, BAJA
2025-04-05, 1069, Lucia Sosa DNI 33426839, SUITE, Miguel Torcuato, 3, 90000, BAJA
2025-01-27, 1070, Marcos Fernandez DNI 32409965, SENCILLA, Miguel Torcuato, 4, 40000, BAJA
2025-05-02, 1071, Marcos Torres DNI 44645468, SENCILLA, Miguel Torcuato, 9, 90000, BAJA
2025-06-24, 1072, Sofia Diaz DNI 27355401, SUITE, Miguel Torcuato, 8, 240000, ALTA
2025-03-06, 1073, Juan Herrera DNI 31921545, SUITE, Miguel Torcuato, 4, 120000, MEDIA
2025-09-17, 1074, Ana Perez DNI 18123052, DOBLE, Miguel Torcuato, 14, 252000, ALTA
2025-01-08, 1075, Sofia Diaz DNI 14561152, SUITE, Miguel Torcuato, 3, 90000, BAJA
2025-10-05, 1076, Diego Torres DNI 20493980, SUITE, Miguel Torcuato, 13, 390000, ALTA
2025-05-13, 1077, Ana Lopez DNI 12236474, DOBLE, Miguel Torcuato, 5, 90000, BAJA
2025-05-11, 1078, Lucia Lopez DNI 35876970, DOBLE, Miguel Torcuato, 15, 270000, ALTA
2025-11-16, 1079, Pedro Perez DNI 27796149, SUITE, Miguel Torcuato, 1, 30000, BAJA
2025-04-29, 1080, Ana Diaz DNI 39564199, DOBLE, Miguel Torcuato, 9, 162000, MEDIA
2025-01-24, 1081, Ana Perez DNI 46086128, SENCILLA, Miguel Torcuato, 13, 130000, MEDIA
2025-07-28, 1082, Ana Herrera DNI 15460664, SUITE, Miguel Torcuato, 13, 390000, ALTA
2025-04-05, 1083, Valentina Fernandez DNI 32066843, SENCILLA, Miguel Torcuato, 15, 150000, MEDIA
2025-06-22, 1084, Pedro Perez DNI 29021643, SUITE, Miguel Torcuato, 1, 30000, BAJA
2025-12-02, 1085, Pedro Herrera DNI 20375515, SENCILLA, Miguel Torcuato, 14, 140000, MEDIA
2025-01-11, 1086, Juan Ruiz DNI 41688800, SENCILLA, Miguel Torcuato, 1, 10000, BAJA
2025-03-05, 1087, Marcos Lopez DNI 12694344, SENCILLA, Miguel Torcuato, 7, 70000, BAJA
2025-07-17, 1088, Laura Fernandez DNI 21737060, DOBLE, Miguel Torcuato, 6, 108000, MEDIA
2025-05-22, 1089, Pedro Lopez DNI 26865617, SUITE, Miguel Torcuato, 4, 120000, MEDIA
2025-07-24, 1090, Juan Fernandez DNI 29788731, SUITE, Miguel Torcuato, 14, 420000, ALTA
2025-12-27, 1091, Laura Torres DNI 28760419, DOBLE, Miguel Torcuato, 9, 162000, MEDIA
2025-02-14, 1092, Sofia Sosa DNI 34083738, SUITE, Miguel Torcuato, 3, 90000, BAJA
2025-10-18, 1093, Valentina Fernandez DNI 41138362, SUITE, Miguel Torcuato, 1, 30000, BAJA
2025-05-31, 1094, Carlos Ruiz DNI 40215818, DOBLE, Miguel Torcuato, 5, 90000, BAJA
2025-06-08, 1095, Marcos Perez DNI 22465106, SENCILLA, Miguel Torcuato, 15, 150000, MEDIA
2025-02-17, 1096, Valentina Diaz DNI 17808354, SUITE, Miguel Torcuato, 8, 240000, ALTA
2025-08-09, 1097, Carlos Torres DNI 21100016, SUITE, Miguel Torcuato, 10, 300000, ALTA
2025-08-14, 1098, Sofia Fernandez DNI 25804649, DOBLE, Miguel Torcuato, 5, 90000, BAJA
2025-08-01, 1099, Marcos Mendez DNI 36554451, DOBLE, Miguel Torcuato, 8, 144000, MEDIA
2025-08-09, 1100, Pedro Mendez DNI 28339604, SUITE, Miguel Torcuato, 15, 450000, ALTA
2025-06-12, 1101, Pedro Torres DNI 37355651, DOBLE, Miguel Torcuato, 5, 90000, BAJA
2025-05-30, 1102, Pedro Lopez DNI 43014495, DOBLE, Miguel Torcuato, 15, 270000, ALTA
2025-04-09, 1103, Lucia Mendez DNI 22171708, SENCILLA, Miguel Torcuato, 3, 30000, BAJA
2025-12-10, 1104, Marcos Mendez DNI 36271826, SUITE, Miguel Torcuato, 2, 60000, BAJA
2025-12-19, 1105, Laura Lopez DNI 20039423, SUITE, Miguel Torcuato, 7, 210000, ALTA
2025-05-01, 1106, Lucia Torres DNI 34480795, DOBLE, Miguel Torcuato, 9, 162000, MEDIA
2025-10-26, 1107, Ana Mendez DNI 17470526, DOBLE, Miguel Torcuato, 10, 180000, MEDIA
2025-06-28, 1108, Ana Sosa DNI 41686859, DOBLE, Miguel Torcuato, 12, 216000, ALTA
2025-12-25, 1109, Carlos Perez DNI 41717033, DOBLE, Miguel Torcuato, 6, 108000, MEDIA
2025-06-25, 1110, Sofia Torres DNI 11902519, SUITE, Miguel Torcuato, 4, 120000, MEDIA
2025-10-23, 1111, Marcos Mendez DNI 49802402, DOBLE, Miguel Torcuato, 5, 90000, BAJA
2025-03-07, 1112, Carlos Torres DNI 12043764, DOBLE, Miguel Torcuato, 14, 252000, ALTA
2025-02-03, 1113, Marcos Fernandez DNI 48299969, SUITE, Miguel Torcuato, 9, 270000, ALTA
2025-04-11, 1114, Pedro Diaz DNI 39257207, SUITE, Miguel Torcuato, 1, 30000, BAJA
2025-05-05, 1115, Ana Lopez DNI 33290509, SENCILLA, Miguel Torcuato, 15, 150000, MEDIA
2025-07-25, 1116, Carlos Ruiz DNI 20272848, SENCILLA, Miguel Torcuato, 13, 130000, MEDIA
2025-06-08, 1117, Carlos Herrera DNI 19970112, SENCILLA, Miguel Torcuato, 3, 30000, BAJA
2025-10-18, 1118, Sofia Gomez DNI 32097929, SENCILLA, Miguel Torcuato, 3, 30000, BAJA
2025-06-05, 1119, Pedro Gomez DNI 29309629, SENCILLA, Miguel Torcuato, 6, 60000, BAJA
2025-02-05, 1120, Sofia Torres DNI 33054376, SENCILLA, Miguel Torcuato, 8, 80000, BAJA
2025-09-11, 1121, Lucia Torres DNI 48550554, SENCILLA, Miguel Torcuato, 10, 100000, MEDIA
2025-12-19, 1122, Laura Herrera DNI 35828805, SUITE, Miguel Torcuato, 10, 300000, ALTA
2025-04-12, 1123, Ana Lopez DNI 27560524, SENCILLA, Miguel Torcuato, 3, 30000, BAJA
2025-05-26, 1124, Carlos Perez DNI 11256530, SUITE, Miguel Torcuato, 5, 150000, MEDIA
2025-03-04, 1125, Carlos Torres DNI 16181499, SENCILLA, Miguel Torcuato, 6, 60000, BAJA
2025-02-01, 1126, Carlos Torres DNI 10946030, SUITE, Miguel Torcuato, 4, 120000, MEDIA
2025-02-10, 1127, Laura Lopez DNI 24073580, SENCILLA, Miguel Torcuato, 6, 60000, BAJA
2025-11-26, 1128, Pedro Diaz DNI 40087788, SENCILLA, Miguel Torcuato, 11, 110000, MEDIA
2025-01-26, 1129, Valentina Herrera DNI 43026828, SUITE, Miguel Torcuato, 3, 90000, BAJA
2025-08-30, 1130, Diego Ruiz DNI 19897838, SUITE, Miguel Torcuato, 1, 30000, BAJA
2025-01-16, 1131, Carlos Herrera DNI 33329320, DOBLE, Miguel Torcuato, 4, 72000, BAJA
2025-05-22, 1132, Carlos Diaz DNI 28495008, SENCILLA, Miguel Torcuato, 7, 70000, BAJA
2025-10-05, 1133, Juan Perez DNI 38262318, DOBLE, Miguel Torcuato, 11, 198000, MEDIA
2025-11-17, 1134, Diego Torres DNI 37674652, SUITE, Miguel Torcuato, 8, 240000, ALTA
2025-12-21, 1135, Diego Lopez DNI 14315303, SUITE, Miguel Torcuato, 12, 360000, ALTA
2025-11-03, 1136, Marcos Fernandez DNI 46887265, SUITE, Miguel Torcuato, 2, 60000, BAJA
2025-03-30, 1137, Pedro Diaz DNI 14663741, DOBLE, Miguel Torcuato, 3, 54000, BAJA
2025-10-09, 1138, Ana Fernandez DNI 31326199, SENCILLA, Miguel Torcuato, 6, 60000, BAJA
2025-09-10, 1139, Valentina Sosa DNI 10763883, SUITE, Miguel Torcuato, 12, 360000, ALTA
2025-08-05, 1140, Lucia Gomez DNI 18929195, SENCILLA, Miguel Torcuato, 1, 10000, BAJA
2025-03-13, 1141, Juan Herrera DNI 14780493, DOBLE, Miguel Torcuato, 11, 198000, MEDIA
2025-10-11, 1142, Juan Fernandez DNI 26271082, SUITE, Miguel Torcuato, 13, 390000, ALTA
2025-09-23, 1143, Valentina Sosa DNI 32955916, DOBLE, Miguel Torcuato, 15, 270000, ALTA
2025-08-23, 1144, Diego Herrera DNI 40096581, SENCILLA, Miguel Torcuato, 9, 90000, BAJA
2025-08-17, 1145, Lucia Gomez DNI 40653806, SENCILLA, Miguel Torcuato, 1, 10000, BAJA
2025-08-31, 1146, Juan Diaz DNI 14317961, SENCILLA, Miguel Torcuato, 13, 130000, MEDIA
2025-01-29, 1147, Sofia Lopez DNI 31446912, DOBLE, Miguel Torcuato, 14, 252000, ALTA
2025-05-14, 1148, Diego Mendez DNI 36318721, SUITE, Miguel Torcuato, 14, 420000, ALTA
2025-03-23, 1149, Pedro Fernandez DNI 32749930, SUITE, Miguel Torcuato, 4, 120000, MEDIA
2025-07-30, 1150, Laura Diaz DNI 23288274, SUITE, Miguel Torcuato, 12, 360000, ALTA
2025-10-30, 1151, Carlos Herrera DNI 43544022, SUITE, Miguel Torcuato, 2, 60000, BAJA
2025-06-25, 1152, Valentina Fernandez DNI 35348601, DOBLE, Miguel Torcuato, 11, 198000, MEDIA
2025-05-07, 1153, Valentina Lopez DNI 30821764, DOBLE, Miguel Torcuato, 12, 216000, ALTA
2025-08-21, 1154, Juan Torres DNI 42388076, SENCILLA, Miguel Torcuato, 13, 130000, MEDIA
2025-06-24, 1155, Valentina Fernandez DNI 17606517, SENCILLA, Miguel Torcuato, 1, 10000, BAJA
2025-05-18, 1156, Lucia Lopez DNI 48690514, DOBLE, Miguel Torcuato, 6, 108000, MEDIA
2025-04-10, 1157, Diego Gomez DNI 21422393, DOBLE, Miguel Torcuato, 3, 54000, BAJA
2025-11-13, 1158, Sofia Gomez DNI 23899113, SENCILLA, Miguel Torcuato, 4, 40000, BAJA
2025-03-27, 1159, Sofia Lopez DNI 23326175, DOBLE, Miguel Torcuato, 10, 180000, MEDIA
2025-03-05, 1160, Laura Gomez DNI 47977340, SENCILLA, Miguel Torcuato, 4, 40000, BAJA
2025-09-14, 1161, Lucia Perez DNI 15044481, SUITE, Miguel Torcuato, 12, 360000, ALTA
2025-09-25, 1162, Sofia Herrera DNI 31293190, SENCILLA, Miguel Torcuato, 12, 120000, MEDIA
2025-10-13, 1163, Valentina Diaz DNI 36628339, SUITE, Miguel Torcuato, 11, 330000, ALTA
2025-05-03, 1164, Sofia Torres DNI 29827566, SENCILLA, Miguel Torcuato, 14, 140000, MEDIA
2025-05-14, 1165, Juan Ruiz DNI 35448590, SENCILLA, Miguel Torcuato, 12, 120000, MEDIA
2025-09-05, 1166, Valentina Diaz DNI 21682792, SENCILLA, Miguel Torcuato, 13, 130000, MEDIA
2025-08-11, 1167, Pedro Diaz DNI 41602341, SENCILLA, Miguel Torcuato, 8, 80000, BAJA
2025-01-26, 1168, Lucia Diaz DNI 20922733, SENCILLA, Miguel Torcuato, 10, 100000, MEDIA
2025-02-19, 1169, Valentina Fernandez DNI 38234123, DOBLE, Miguel Torcuato, 7, 126000, MEDIA
2025-01-21, 1170, Juan Mendez DNI 39971423, DOBLE, Miguel Torcuato, 6, 108000, MEDIA
2025-10-04, 1171, Valentina Mendez DNI 25489478, DOBLE, Miguel Torcuato, 14, 252000, ALTA
2025-11-11, 1172, Pedro Perez DNI 24838724, SUITE, Miguel Torcuato, 2, 60000, BAJA
2025-04-16, 1173, Marcos Torres DNI 21077981, DOBLE, Miguel Torcuato, 1, 18000, BAJA
2025-03-24, 1174, Juan Torres DNI 31785637, DOBLE, Miguel Torcuato, 14, 252000, ALTA
2025-07-09, 1175, Laura Gomez DNI 12503105, DOBLE, Miguel Torcuato, 3, 54000, BAJA
2025-08-30, 1176, Laura Sosa DNI 47078924, SENCILLA, Miguel Torcuato, 7, 70000, BAJA
2025-01-30, 1177, Ana Diaz DNI 23175395, DOBLE, Miguel Torcuato, 1, 18000, BAJA
2025-03-18, 1178, Ana Gomez DNI 41310751, SUITE, Miguel Torcuato, 8, 240000, ALTA
2025-06-01, 1179, Laura Perez DNI 26559067, DOBLE, Miguel Torcuato, 2, 36000, BAJA
2025-02-28, 1180, Valentina Herrera DNI 18910564, SUITE, Miguel Torcuato, 11, 330000, ALTA
2025-09-10, 1181, Pedro Sosa DNI 17669176, SENCILLA, Miguel Torcuato, 12, 120000, MEDIA
2025-04-09, 1182, Laura Perez DNI 21649562, SENCILLA, Miguel Torcuato, 14, 140000, MEDIA
2025-05-30, 1183, Ana Perez DNI 43490673, SUITE, Miguel Torcuato, 2, 60000, BAJA
2025-05-09, 1184, Juan Torres DNI 42397112, SUITE, Miguel Torcuato, 8, 240000, ALTA
2025-05-21, 1185, Marcos Torres DNI 28967278, DOBLE, Miguel Torcuato, 1, 18000, BAJA
2025-08-26, 1186, Pedro Fernandez DNI 16796301, DOBLE, Miguel Torcuato, 8, 144000, MEDIA
2025-11-20, 1187, Diego Gomez DNI 43408316, SENCILLA, Miguel Torcuato, 10, 100000, MEDIA
2025-05-24, 1188, Diego Herrera DNI 35605757, SUITE, Miguel Torcuato, 10, 300000, ALTA
2025-08-17, 1189, Diego Diaz DNI 16954963, DOBLE, Miguel Torcuato, 5, 90000, BAJA
2025-08-10, 1190, Marcos Herrera DNI 15208668, DOBLE, Miguel Torcuato, 14, 252000, ALTA
2025-06-14, 1191, Pedro Perez DNI 10272910, SENCILLA, Miguel Torcuato, 7, 70000, BAJA
2025-04-13, 1192, Marcos Torres DNI 35572081, SENCILLA, Miguel Torcuato, 11, 110000, MEDIA
2025-05-31, 1193, Sofia Diaz DNI 16127663, SENCILLA, Miguel Torcuato, 11, 110000, MEDIA
2025-08-16, 1194, Lucia Diaz DNI 15499921, SUITE, Miguel Torcuato, 3, 90000, BAJA
2025-01-07, 1195, Diego Herrera DNI 16587796, SENCILLA, Miguel Torcuato, 14, 140000, MEDIA
2025-02-26, 1196, Pedro Herrera DNI 37485406, DOBLE, Miguel Torcuato, 8, 144000, MEDIA
2025-06-19, 1197, Marcos Sosa DNI 38330371, SUITE, Miguel Torcuato, 7, 210000, ALTA
2025-05-02, 1198, Laura Diaz DNI 41070756, SUITE, Miguel Torcuato, 2, 60000, BAJA
2025-06-03, 1199, Lucia Mendez DNI 30461717, SUITE, Miguel Torcuato, 2, 60000, BAJA
2025-04-17, 1200, Diego Lopez DNI 47208663, DOBLE, Miguel Torcuato, 2, 36000, BAJA
2025-01-30, 1201, Diego Torres DNI 22565706, SUITE, Miguel Torcuato, 8, 240000, ALTA
2025-09-12, 1202, Ana Torres DNI 39909811, SUITE, Miguel Torcuato, 5, 150000, MEDIA
2025-08-17, 1203, Carlos Herrera DNI 26920112, SUITE, Miguel Torcuato, 10, 300000, ALTA
2025-08-22, 1204, Sofia Mendez DNI 49161592, SUITE, Miguel Torcuato, 6, 180000, MEDIA
2025-05-04, 1205, Diego Perez DNI 39062201, SUITE, Miguel Torcuato, 1, 30000, BAJA
2025-07-30, 1206, Marcos Mendez DNI 46646216, SUITE, Miguel Torcuato, 7, 210000, ALTA
2025-11-03, 1207, Sofia Perez DNI 10341409, DOBLE, Miguel Torcuato, 3, 54000, BAJA
2025-04-16, 1208, Diego Herrera DNI 27712040, SUITE, Miguel Torcuato, 15, 450000, ALTA
2025-01-19, 1209, Lucia Sosa DNI 35352961, SENCILLA, Miguel Torcuato, 8, 80000, BAJA
2025-09-25, 1210, Diego Diaz DNI 48295960, SENCILLA, Miguel Torcuato, 12, 120000, MEDIA
2025-07-25, 1211, Ana Mendez DNI 12393084, SENCILLA, Miguel Torcuato, 13, 130000, MEDIA
2025-04-18, 1212, Sofia Sosa DNI 41815769, DOBLE, Miguel Torcuato, 7, 126000, MEDIA
2025-02-18, 1213, Lucia Fernandez DNI 31561099, SENCILLA, Miguel Torcuato, 14, 140000, MEDIA
2025-10-22, 1214, Carlos Ruiz DNI 35130049, SUITE, Miguel Torcuato, 7, 210000, ALTA
2025-11-26, 1215, Valentina Diaz DNI 36114542, SUITE, Miguel Torcuato, 4, 120000, MEDIA
2025-01-04, 1216, Valentina Mendez DNI 35768901, SENCILLA, Miguel Torcuato, 9, 90000, BAJA
2025-09-08, 1217, Juan Gomez DNI 28494649, DOBLE, Miguel Torcuato, 13, 234000, ALTA
2025-03-03, 1218, Lucia Mendez DNI 19654795, SENCILLA, Miguel Torcuato, 13, 130000, MEDIA
2025-10-01, 1219, Carlos Gomez DNI 32459777, DOBLE, Miguel Torcuato, 9, 162000, MEDIA
2025-02-21, 1220, Juan Diaz DNI 28129201, SENCILLA, Miguel Torcuato, 8, 80000, BAJA
2025-10-09, 1221, Laura Mendez DNI 24996650, SENCILLA, Miguel Torcuato, 8, 80000, BAJA
2025-04-22, 1222, Diego Lopez DNI 41172134, SENCILLA, Miguel Torcuato, 4, 40000, BAJA
2025-08-01, 1223, Diego Lopez DNI 44954711, SENCILLA, Miguel Torcuato, 7, 70000, BAJA
2025-08-12, 1224, Lucia Torres DNI 45307052, SENCILLA, Miguel Torcuato, 11, 110000, MEDIA
2025-09-02, 1225, Diego Lopez DNI 25504757, SENCILLA, Miguel Torcuato, 2, 20000, BAJA
2025-04-25, 1226, Sofia Fernandez DNI 39507057, DOBLE, Miguel Torcuato, 5, 90000, BAJA
2025-08-08, 1227, Marcos Sosa DNI 14801261, SUITE, Miguel Torcuato, 9, 270000, ALTA
2025-07-30, 1228, Juan Perez DNI 10337487, DOBLE, Miguel Torcuato, 7, 126000, MEDIA
2025-08-11, 1229, Lucia Fernandez DNI 49916396, SENCILLA, Miguel Torcuato, 14, 140000, MEDIA
2025-11-12, 1230, Marcos Mendez DNI 25556271, SENCILLA, Miguel Torcuato, 12, 120000, MEDIA
2025-09-09, 1231, Valentina Gomez DNI 23688152, DOBLE, Miguel Torcuato, 11, 198000, MEDIA
2025-11-15, 1232, Pedro Sosa DNI 36542334, DOBLE, Miguel Torcuato, 9, 162000, MEDIA
2025-10-16, 1233, Lucia Lopez DNI 35760857, SUITE, Miguel Torcuato, 9, 270000, ALTA
2025-07-20, 1234, Laura Diaz DNI 11628498, SUITE, Miguel Torcuato, 6, 180000, MEDIA
2025-07-08, 1235, Laura Ruiz DNI 26805897, DOBLE, Miguel Torcuato, 7, 126000, MEDIA
2025-01-13, 1236, Pedro Ruiz DNI 16482724, DOBLE, Miguel Torcuato, 2, 36000, BAJA
2025-07-21, 1237, Lucia Fernandez DNI 46956483, DOBLE, Miguel Torcuato, 13, 234000, ALTA
2025-06-07, 1238, Lucia Perez DNI 43759283, SENCILLA, Miguel Torcuato, 3, 30000, BAJA
2025-02-03, 1239, Marcos Lopez DNI 11528332, SENCILLA, Miguel Torcuato, 9, 90000, BAJA
2025-02-15, 1240, Diego Sosa DNI 22938490, SENCILLA, Miguel Torcuato, 15, 150000, MEDIA
2025-10-28, 1241, Diego Gomez DNI 32282280, SUITE, Miguel Torcuato, 4, 120000, MEDIA
2025-07-06, 1242, Ana Ruiz DNI 12500310, SUITE, Miguel Torcuato, 2, 60000, BAJA
2025-09-04, 1243, Marcos Herrera DNI 20693699, SUITE, Miguel Torcuato, 8, 240000, ALTA
2025-05-15, 1244, Laura Diaz DNI 34095167, DOBLE, Miguel Torcuato, 13, 234000, ALTA
2025-09-02, 1245, Marcos Perez DNI 19268674, SENCILLA, Miguel Torcuato, 1, 10000, BAJA
2025-09-14, 1246, Pedro Gomez DNI 29936169, DOBLE, Miguel Torcuato, 4, 72000, BAJA
2025-10-31, 1247, Sofia Perez DNI 38492590, DOBLE, Miguel Torcuato, 13, 234000, ALTA
2025-03-21, 1248, Marcos Torres DNI 37661318, SUITE, Miguel Torcuato, 7, 210000, ALTA
2025-07-13, 1249, Laura Herrera DNI 29210730, DOBLE, Miguel Torcuato, 1, 18000, BAJA
2025-06-28, 1250, Ana Ruiz DNI 20085561, SUITE, Miguel Torcuato, 5, 150000, MEDIA
2025-04-27, 1251, Marcos Gomez DNI 22112519, DOBLE, Miguel Torcuato, 14, 252000, ALTA
2025-04-10, 1252, Valentina Mendez DNI 43747274, DOBLE, Miguel Torcuato, 2, 36000, BAJA
2025-02-02, 1253, Lucia Fernandez DNI 43337351, DOBLE, Miguel Torcuato, 9, 162000, MEDIA
2025-09-12, 1254, Marcos Sosa DNI 23304362, SENCILLA, Miguel Torcuato, 4, 40000, BAJA
